movieId,imdbId,title,genres,rating,release_date
1.0,114709.0,N/A,,N/A,N/A
2.0,113497.0,N/A,,N/A,N/A
3.0,113228.0,N/A,,N/A,N/A
4.0,114885.0,N/A,,N/A,N/A
5.0,113041.0,N/A,,N/A,N/A
6.0,113277.0,N/A,,N/A,N/A
7.0,114319.0,N/A,,N/A,N/A
8.0,112302.0,N/A,,N/A,N/A
9.0,114576.0,N/A,,N/A,N/A
10.0,113189.0,N/A,,N/A,N/A
11.0,112346.0,N/A,,N/A,N/A
12.0,112896.0,N/A,,N/A,N/A
13.0,112453.0,N/A,,N/A,N/A
14.0,113987.0,N/A,,N/A,N/A
15.0,112760.0,N/A,,N/A,N/A
16.0,112641.0,N/A,,N/A,N/A
17.0,114388.0,N/A,,N/A,N/A
18.0,113101.0,N/A,,N/A,N/A
19.0,112281.0,N/A,,N/A,N/A
20.0,113845.0,N/A,,N/A,N/A
21.0,113161.0,N/A,,N/A,N/A
22.0,112722.0,N/A,,N/A,N/A
23.0,112401.0,N/A,,N/A,N/A
24.0,114168.0,N/A,,N/A,N/A
25.0,113627.0,N/A,,N/A,N/A
26.0,114057.0,N/A,,N/A,N/A
27.0,114011.0,N/A,,N/A,N/A
28.0,114117.0,N/A,,N/A,N/A
29.0,112682.0,N/A,,N/A,N/A
30.0,115012.0,N/A,,N/A,N/A
31.0,112792.0,N/A,,N/A,N/A
32.0,114746.0,N/A,,N/A,N/A
34.0,112431.0,N/A,,N/A,N/A
36.0,112818.0,N/A,,N/A,N/A
38.0,113442.0,N/A,,N/A,N/A
39.0,112697.0,N/A,,N/A,N/A
40.0,112749.0,N/A,,N/A,N/A
41.0,114279.0,N/A,,N/A,N/A
42.0,112819.0,N/A,,N/A,N/A
43.0,114272.0,N/A,,N/A,N/A
44.0,113855.0,N/A,,N/A,N/A
45.0,114681.0,N/A,,N/A,N/A
46.0,113347.0,N/A,,N/A,N/A
47.0,114369.0,N/A,,N/A,N/A
48.0,114148.0,N/A,,N/A,N/A
49.0,114916.0,N/A,,N/A,N/A
50.0,114814.0,N/A,,N/A,N/A
52.0,113819.0,N/A,,N/A,N/A
53.0,110299.0,N/A,,N/A,N/A
54.0,112499.0,N/A,,N/A,N/A
55.0,113158.0,N/A,,N/A,N/A
57.0,113321.0,N/A,,N/A,N/A
58.0,110877.0,N/A,,N/A,N/A
60.0,113419.0,N/A,,N/A,N/A
61.0,116260.0,N/A,,N/A,N/A
62.0,113862.0,N/A,,N/A,N/A
63.0,116126.0,N/A,,N/A,N/A
64.0,118002.0,N/A,,N/A,N/A
65.0,115683.0,N/A,,N/A,N/A
66.0,116839.0,N/A,,N/A,N/A
68.0,113149.0,N/A,,N/A,N/A
69.0,113118.0,N/A,,N/A,N/A
70.0,116367.0,N/A,,N/A,N/A
71.0,113010.0,N/A,,N/A,N/A
72.0,113537.0,N/A,,N/A,N/A
73.0,113828.0,N/A,,N/A,N/A
74.0,115644.0,N/A,,N/A,N/A
75.0,115676.0,N/A,,N/A,N/A
76.0,114367.0,N/A,,N/A,N/A
77.0,113973.0,N/A,,N/A,N/A
78.0,112744.0,N/A,,N/A,N/A
79.0,116731.0,N/A,,N/A,N/A
80.0,112445.0,N/A,,N/A,N/A
81.0,114660.0,N/A,,N/A,N/A
82.0,112379.0,N/A,,N/A,N/A
83.0,114039.0,N/A,,N/A,N/A
85.0,112365.0,N/A,,N/A,N/A
86.0,118158.0,N/A,,N/A,N/A
87.0,116151.0,N/A,,N/A,N/A
88.0,115697.0,N/A,,N/A,N/A
89.0,113972.0,N/A,,N/A,N/A
92.0,117002.0,N/A,,N/A,N/A
93.0,114825.0,N/A,,N/A,N/A
94.0,115639.0,N/A,,N/A,N/A
95.0,115759.0,N/A,,N/A,N/A
96.0,113403.0,N/A,,N/A,N/A
97.0,113247.0,N/A,,N/A,N/A
99.0,113283.0,N/A,,N/A,N/A
100.0,115907.0,N/A,,N/A,N/A
101.0,115734.0,N/A,,N/A,N/A
102.0,117102.0,N/A,,N/A,N/A
103.0,118040.0,N/A,,N/A,N/A
104.0,116483.0,N/A,,N/A,N/A
105.0,112579.0,N/A,,N/A,N/A
106.0,110251.0,N/A,,N/A,N/A
107.0,117110.0,N/A,,N/A,N/A
108.0,112646.0,N/A,,N/A,N/A
110.0,112573.0,N/A,,N/A,N/A
111.0,75314.0,N/A,,N/A,N/A
112.0,113326.0,N/A,,N/A,N/A
113.0,115645.0,N/A,,N/A,N/A
116.0,112373.0,N/A,,N/A,N/A
117.0,115033.0,N/A,,N/A,N/A
118.0,116606.0,N/A,,N/A,N/A
119.0,114536.0,N/A,,N/A,N/A
121.0,106473.0,N/A,,N/A,N/A
122.0,103859.0,N/A,,N/A,N/A
123.0,109424.0,N/A,,N/A,N/A
125.0,116324.0,N/A,,N/A,N/A
126.0,110647.0,N/A,,N/A,N/A
128.0,110217.0,N/A,,N/A,N/A
129.0,114131.0,N/A,,N/A,N/A
132.0,113451.0,N/A,,N/A,N/A
135.0,116130.0,N/A,,N/A,N/A
137.0,113756.0,N/A,,N/A,N/A
140.0,118055.0,N/A,,N/A,N/A
141.0,115685.0,N/A,,N/A,N/A
144.0,112585.0,N/A,,N/A,N/A
145.0,112442.0,N/A,,N/A,N/A
146.0,112342.0,N/A,,N/A,N/A
147.0,112461.0,N/A,,N/A,N/A
148.0,112427.0,N/A,,N/A,N/A
149.0,109093.0,N/A,,N/A,N/A
150.0,112384.0,N/A,,N/A,N/A
151.0,114287.0,N/A,,N/A,N/A
152.0,112288.0,N/A,,N/A,N/A
153.0,112462.0,N/A,,N/A,N/A
154.0,61395.0,N/A,,N/A,N/A
155.0,112495.0,N/A,,N/A,N/A
156.0,112541.0,N/A,,N/A,N/A
157.0,109370.0,N/A,,N/A,N/A
158.0,112642.0,N/A,,N/A,N/A
159.0,112688.0,N/A,,N/A,N/A
160.0,112715.0,N/A,,N/A,N/A
161.0,112740.0,N/A,,N/A,N/A
162.0,109508.0,N/A,,N/A,N/A
163.0,112851.0,N/A,,N/A,N/A
164.0,112857.0,N/A,,N/A,N/A
165.0,112864.0,N/A,,N/A,N/A
166.0,112887.0,N/A,,N/A,N/A
168.0,113071.0,N/A,,N/A,N/A
169.0,113114.0,N/A,,N/A,N/A
170.0,113243.0,N/A,,N/A,N/A
171.0,113464.0,N/A,,N/A,N/A
172.0,113481.0,N/A,,N/A,N/A
173.0,113492.0,N/A,,N/A,N/A
174.0,113500.0,N/A,,N/A,N/A
175.0,113540.0,N/A,,N/A,N/A
176.0,113677.0,N/A,,N/A,N/A
177.0,113690.0,N/A,,N/A,N/A
178.0,107447.0,N/A,,N/A,N/A
179.0,113729.0,N/A,,N/A,N/A
180.0,113749.0,N/A,,N/A,N/A
181.0,113820.0,N/A,,N/A,N/A
183.0,110604.0,N/A,,N/A,N/A
184.0,110620.0,N/A,,N/A,N/A
185.0,113957.0,N/A,,N/A,N/A
186.0,113986.0,N/A,,N/A,N/A
187.0,114095.0,N/A,,N/A,N/A
188.0,114194.0,N/A,,N/A,N/A
189.0,114241.0,N/A,,N/A,N/A
190.0,114323.0,N/A,,N/A,N/A
191.0,114345.0,N/A,,N/A,N/A
193.0,114436.0,N/A,,N/A,N/A
194.0,114478.0,N/A,,N/A,N/A
195.0,114496.0,N/A,,N/A,N/A
196.0,114508.0,N/A,,N/A,N/A
198.0,114558.0,N/A,,N/A,N/A
199.0,58450.0,N/A,,N/A,N/A
201.0,114663.0,N/A,,N/A,N/A
202.0,114702.0,N/A,,N/A,N/A
203.0,114682.0,N/A,,N/A,N/A
204.0,114781.0,N/A,,N/A,N/A
205.0,114798.0,N/A,,N/A,N/A
206.0,114805.0,N/A,,N/A,N/A
207.0,114887.0,N/A,,N/A,N/A
208.0,114898.0,N/A,,N/A,N/A
209.0,114928.0,N/A,,N/A,N/A
210.0,114938.0,N/A,,N/A,N/A
211.0,109340.0,N/A,,N/A,N/A
212.0,112602.0,N/A,,N/A,N/A
213.0,111579.0,N/A,,N/A,N/A
214.0,110882.0,N/A,,N/A,N/A
215.0,112471.0,N/A,,N/A,N/A
216.0,112508.0,N/A,,N/A,N/A
217.0,112438.0,N/A,,N/A,N/A
218.0,112571.0,N/A,,N/A,N/A
219.0,112757.0,N/A,,N/A,N/A
220.0,112643.0,N/A,,N/A,N/A
222.0,112679.0,N/A,,N/A,N/A
223.0,109445.0,N/A,,N/A,N/A
224.0,112883.0,N/A,,N/A,N/A
225.0,109635.0,N/A,,N/A,N/A
227.0,109676.0,N/A,,N/A,N/A
228.0,112854.0,N/A,,N/A,N/A
229.0,109579.0,N/A,,N/A,N/A
230.0,109642.0,N/A,,N/A,N/A
231.0,109686.0,N/A,,N/A,N/A
232.0,111797.0,N/A,,N/A,N/A
